[2022-05-09T11:37:42.847] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.856] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.864] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.874] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.882] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.903] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.911] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.920] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.929] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.938] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.945] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.953] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:42.961] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.086] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.160] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.169] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.178] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.187] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.194] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.201] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.210] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.217] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T11:37:43.229] [INFO] infoFile - { route: '/info', method: '[GET]' }
